Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
5676,which,which,2044.0889999999997,2044.3239999999998,8.287981264700422,DET,4,3,2,3
5677,one,one,2044.3239999999998,2044.4739999999997,7.9086812336929855,NUM,4,4,2,3
5678,of,of,2044.4739999999997,2044.5639999999999,10.576559568665022,ADP,4,2,1,2
5679,us,us,2044.5639999999999,2044.774,6.483917420815918,PRON,4,2,4,3
5680,would,would,2044.774,2044.8839999999998,7.530855461230048,VERB,4,2,1,2
5681,be,be,2044.8839999999998,2045.0339999999997,8.716207971151853,AUX,4,2,1,2
5682,in,in,2045.0339999999997,2045.1239999999998,9.970445020661009,ADP,4,2,1,2
5683,the,the,2045.1239999999998,2045.2339999999997,11.115800481137065,DET,4,2,1,2
5684,wrong,wrong,2045.2339999999997,2045.4879999999998,4.4622001030286365,NOUN,4,1,9,2
5685,you,you,2046.1369999999997,2046.5069999999998,7.992843190830359,PRON,4,3,2,3
5686,said,said,2046.8609999999996,2047.0559999999998,6.866599895560644,VERB,4,2,1,2
5687,the,the,2047.0559999999998,2047.1459999999997,11.115800481137065,DET,4,2,1,2
5688,little,little,2047.1459999999997,2047.3759999999997,6.329168168121289,ADJ,4,1,1,1
5689,prince,prince,2047.3759999999997,2047.8359999999998,4.224934131925703,NOUN,4,1,2,2
5690,firmly,firmly,2047.8359999999998,2048.3259999999996,3.215028433139307,ADV,4,2,4,3
5691,exactly,exactly,2048.9689999999996,2049.8239999999996,4.241528171133586,ADV,4,3,2,3
5692,one,one,2050.542,2050.7369999999996,7.9086812336929855,PRON,4,2,2,2
