Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
7207,un,un,2674.9300000000003,2675.09,4.10330930142218,DET,5,1,2,2
7208,millions,millions,2675.09,2675.5800000000004,1.9440876799094,NC,5,1,4,2
7209,millions,millions,2676.3700000000003,2676.88,1.9440876799094,NC,5,3,1,2
7210,de,de,2676.88,2677.06,4.401761613355665,P,5,2,1,2
7211,quoi,quoi,2677.1000000000004,2677.51,3.3947982776134755,PROWH,5,2,6,3
7212,le,le,2678.52,2678.6400000000003,4.229259370610864,DET,5,3,1,2
7213,businessman,businessman,2678.6400000000003,2679.4500000000003,-0.0757206622363974,NC,5,1,2,2
7214,comprit,comprit,2679.5,2680.05,0.240549273242052,V,5,2,2,2
7215,qu',qu',2680.05,2680.15,-5.958607314841776,CS,5,2,1,2
7216,il,il,2680.15,2680.25,4.121341164711327,CLS,5,2,1,2
7217,n',n',2680.25,2680.29,3.947471953809069,ADV,5,1,1,1
7218,était,était,2680.29,2680.5800000000004,3.4325780894612063,V,5,1,2,2
7219,point,point,2680.5800000000004,2680.81,2.3552790709837814,ADV,5,1,1,1
7220,d',d',2680.81,2680.8700000000003,3.858826430391473,P,5,2,1,2
7221,espoir,espoir,2680.8700000000003,2681.28,1.760573254698116,NC,5,2,1,2
7222,de,de,2681.28,2681.44,4.401761613355665,P,5,2,1,2
7223,paix,paix,2681.44,2681.7000000000003,2.1609484811645,NC,5,2,8,3
7224,millions,millions,2682.4300000000003,2682.92,1.9440876799094,NC,5,4,1,2
7225,de,de,2682.92,2682.96,4.401761613355665,P,5,2,1,2
7226,ces,ces,2682.96,2683.21,3.0872524203277525,DET,5,2,1,2
7227,petites,petites,2683.21,2683.55,1.862012051846939,ADJ,5,1,1,1
7228,choses,choses,2683.55,2683.9300000000003,2.6550038980811,NC,5,1,4,2
7229,que,que,2683.9300000000003,2684.05,3.6128791792035377,CS,5,1,1,1
7230,l',l',2684.05,2684.1000000000004,4.056551938962388,DET,5,2,2,2
7231,on,on,2684.1000000000004,2684.2200000000003,3.9339911415057136,CLS,5,2,1,2
7232,voit,voit,2684.2200000000003,2684.4100000000003,2.2600236609329567,V,5,1,1,1
7233,quelquefois,quelquefois,2684.4100000000003,2684.86,1.0744507226133484,ADV,5,1,2,2
7234,dans,dans,2684.86,2684.9700000000003,3.6682544901156535,P,5,2,1,2
7235,le,le,2684.9700000000003,2685.07,4.229259370610864,DET,5,2,1,2
7236,ciel,ciel,2685.07,2685.6800000000003,2.152960674609617,NC,5,1,6,2
7237,des,des,2686.55,2686.75,3.782165069204706,DET,5,3,1,2
7238,mouches,mouches,2686.75,2687.3,0.9698816484013174,NC,5,1,4,2
7239,mais,mais,2688.1200000000003,2688.4100000000003,3.714371678047351,CC,5,3,1,2
7240,non,non,2688.4700000000003,2688.77,3.606789667937543,ADV,5,1,1,1
7241,des,des,2688.77,2688.94,3.782165069204706,P,5,2,1,2
7242,petites,petites,2688.94,2689.19,1.862012051846939,ADJ,5,2,1,2
7243,choses,choses,2689.19,2689.48,2.6550038980811,NC,5,1,1,1
7244,qui,qui,2689.48,2689.6400000000003,3.7416651970487536,PROREL,5,3,2,3
7245,brillent,brillent,2689.6400000000003,2690.1000000000004,0.5943925614261767,V,5,2,8,3
7246,des,des,2691.02,2691.17,3.782165069204706,DET,5,3,1,2
