sentence,onset,offset,duration
c' est dur de se remettre à le dessin à mon âge quand on n' a jamais fait d' autres tentatives que celle d' un boa fermé et celle d' un boa ouvert à l' âge de six ans,842.17,852.34,10.170000000000073
j' essaierai bien sûr de faire des portraits le plus ressemblants possible mais je ne suis pas tout à fait certain de réussir,853.1,860.29,7.189999999999941
un dessin va,860.98,861.8,0.8199999999999363
et l' autre ne ressemble plus,862.1,863.42,1.3199999999999363
je me trompe un peu aussi sur la taille,864.2,866.19,1.990000000000009
ici le petit prince est trop grand,866.88,868.52,1.6399999999999864
là il est trop petit,868.98,870.27,1.2899999999999636
j' hésite aussi sur la couleur de son costume alors je tâtonne comme ci et comme ça tant bien que mal,870.9,877.72,6.82000000000005
je me tromperai enfin sur certains détails plus importants mais ça il faudra me le pardonner mon ami ne donnait jamais d' explications,878.55,887.29,8.740000000000009
il me croyait peut être semblable à lui mais moi malheureusement je ne sais pas voir les moutons à travers les caisses,888.03,895.16,7.1299999999999955
je suis peut être un peu comme les grandes personnes,895.86,897.94,2.080000000000041
j' ai dû vieillir,898.54,899.5,0.9600000000000364
chaque jour j' apprenais quelque chose sur la planète sur le départ sur le voyage,902.76,908.21,5.4500000000000455
ça venait tout doucement à le hasard des réflexions,909.12,911.95,2.830000000000041
c' est ainsi que le troisième jour je connus le drame des baobabs,913.07,918.05,4.9799999999999045
cette fois ci encore ce fut grâce à le mouton car brusquement le petit prince m' interrogea comme pris d' un doute grave,919.01,926.68,7.669999999999959
c' est bien vrai n' est ce pas que les moutons mangent les arbustes,927.959046,931.16,3.2009540000000243
oui c' est vrai,931.94,932.56,0.6199999999998909
ah je suis content,933.53,935.08,1.5500000000000682
je ne compris pas pourquoi il était si important que les moutons mangeassent les arbustes mais le petit prince ajouta par conséquent ils mangent aussi les baobabs,935.83,945.11,9.279999999999973
je fis remarquer à le petit prince que les baobabs ne sont pas des arbustes mais des arbres grands comme des églises et que si même il emportait avec lui tout un troupeau d' éléphants ce troupeau ne viendrait pas à bout d' un seul baobab,946.02,959.35,13.330000000000041
l' idée de le troupeau d' éléphants fit rire le petit prince,960.59,963.61,3.019999999999982
il faudrait les mettre les uns sur les autres,964.12,966.32,2.2000000000000455
mais il remarqua avec sagesse les baobabs avant de grandir ça commence par être petit,967.45,973.14,5.689999999999941
c' est exact mais pourquoi veux tu que tes moutons mangent les petits baobabs,974.173702,978.24,4.066297999999961
il me répondit ben voyons comme s' il s' agissait là d' une évidence et il me fallut un grand effort d' intelligence pour comprendre à moi seul ce problème,979.27,990.56,11.289999999999964
et en effet sur la planète de le petit prince il y avait comme sur toutes les planètes de bonnes herbes et de mauvaises herbes par conséquent de bonnes graines de bonnes herbes et de mauvaises graines de mauvaises herbes,991.87,1005.7,13.830000000000041
mais les graines sont invisibles,1006.41,1008.01,1.6000000000000227
elles dorment dans le secret de la terre jusqu à ce qu' il prenne fantaisie à l' une d' elles de se réveiller,1008.44,1014.21,5.769999999999982
alors elle s' étire et pousse d' abord timidement vers le soleil une ravissante petite brindille inoffensive,1014.95,1022.61,7.659999999999968
s' il s' agit d' une brindille de radis ou de rosier on peut la laisser pousser comme elle veut,1023.42,1028.48,5.060000000000059
mais s' il s' agit d' une mauvaise plante il faut arracher la plante aussitôt dès qu' on a su la reconnaître,1029.23,1035.21,5.980000000000018
or il y avait des graines terribles sur la planète de le petit prince,1036.12,1039.95,3.8300000000001546
c' étaient les graines de baobabs,1040.74,1042.68,1.9400000000000546
le sol de la planète en était infesté,1043.77,1046.52,2.75
or un baobab si l' on s' y prend trop tard on ne peut jamais plus s' en débarrasser,1047.31,1053.13,5.820000000000164
il encombre toute la planète il la perfore de ses racines,1053.6,1057.94,4.3400000000001455
et si la planète est trop petite et si les baobabs sont trop nombreux ils la font éclater,1058.92,1064.85,5.929999999999836
c' est une question de discipline,1065.9,1067.65,1.75
me disait plus tard le petit prince,1067.96,1069.76,1.7999999999999545
quand on a terminé sa toilette de le matin il faut faire soigneusement la toilette de la planète,1070.53,1075.49,4.960000000000036
il faut s' astreindre régulièrement à arracher les baobabs dès qu' on les distingue d' avec les rosiers auxquels ils ressemblent beaucoup quand ils sont très jeunes,1076.04,1084.44,8.400000000000091
c' est un travail très ennuyeux mais très facile,1085.01,1087.66,2.650000000000091
et un jour il me conseilla de m' appliquer à réussir un beau dessin pour bien faire entrer ça dans la tête des enfants de chez moi,1089.12,1096.18,7.060000000000173
s' ils voyagent un jour me disait il ça pourra leur servir,1097.2,1101.09,3.8899999999998727
il est quelquefois sans inconvénient de remettre à plus tard son travail mais s' il s' agit des baobabs c' est toujours une catastrophe,1101.67,1109.95,8.279999999999973
j' ai connu une planète habitée par un paresseux,1110.5,1113.19,2.6900000000000546
il avait négligé trois arbustes,1113.72,1115.7,1.9800000000000182
et sur les indications de le petit prince j' ai dessiné cette planète là,1116.76,1121.3,4.539999999999964
je n' aime guère prendre le ton d' un moraliste mais le danger des baobabs est si peu connu et les risques courus par celui qui s' égarerait dans un astéroïde sont si considérables que pour une fois je fais exception à ma réserve,1122.45,1136.59,14.139999999999873
je dis enfants faites attention à les baobabs,1137.1,1140.67,3.5700000000001637
c' est pour avertir mes amis d' un danger qu' ils frôlaient depuis longtemps comme moi même sans le connaître que j' ai tant travaillé ce dessin là,1141.8200000000002,1150.01,8.189999999999827
la leçon que je donnais en valait la peine,1150.78,1153.22,2.4400000000000546
vous vous demanderez peut être pourquoi n' y a t il pas dans ce livre d' autres dessins aussi grandioses que le dessin des baobabs,1153.94,1161.19,7.25
la réponse est bien simple,1162.1,1163.45,1.3500000000001364
j' ai essayé mais je n' ai pas pu réussir,1164.04,1166.44,2.400000000000091
quand j' ai dessiné les baobabs j' ai été animé par le sentiment de l' urgence,1167.31,1172.3,4.990000000000009
ah petit prince j' ai compris peu à peu ainsi ta petite vie mélancolique,1175.55,1181.48,5.930000000000064
tu n' avais eu longtemps pour distraction que la douceur des couchers de soleil,1182.25,1186.56,4.309999999999945
j' ai appris ce détail nouveau le quatrième jour à le matin quand tu m' as dit j' aime bien les couchers de soleil,1187.21,1193.91,6.7000000000000455
allons voir un coucher de soleil,1194.29,1195.72,1.4300000000000637
mais il faut attendre,1196.66,1197.71,1.0499999999999545
attendre quoi,1198.46,1199.17,0.7100000000000364
attendre que le soleil se couche,1199.9299999999998,1201.49,1.5600000000001728
tu as eu l' air très surpris d' abord et puis tu as ri de toi même et tu m' as dit je me crois toujours chez moi,1202.42,1209.42,7.0
en effet quand il est midi à les états unis le soleil tout le monde le sait se couche sur la france,1210.49,1216.83,6.339999999999918
il suffirait de pouvoir aller en france en une minute pour assister à le coucher de le soleil,1217.44,1222.4299999999998,4.989999999999782
malheureusement la france est bien trop éloignée mais sur ta si petite planète il te suffisait de tirer ta chaise de quelques pas et tu regardais le crépuscule chaque fois que tu le désirais,1223.12,1236.37,13.25
un jour j' ai vu le soleil se coucher quarante quatre fois,1237.41,1240.53,3.119999999999891
et un peu plus tard tu ajoutais tu sais quand on est tellement triste on aime les couchers de soleil,1241.52,1247.69,6.170000000000073
le jour des quarante quatre fois tu étais donc tellement triste,1248.73,1251.72,2.990000000000009
mais le petit prince ne répondit pas,1252.48,1254.28,1.7999999999999545
le cinquième jour toujours grâce à le mouton ce secret de la vie de le petit prince me fut révélé,1257.34,1263.15,5.810000000000173
il me demanda avec brusquerie sans préambule comme le fruit d' un problème longtemps médité en silence,1263.93,1270.63,6.7000000000000455
un mouton s' il mange les arbustes il mange aussi les fleurs,1271.45,1274.8,3.349999999999909
un mouton mange tout ce qu' il rencontre,1275.63,1277.56,1.9299999999998363
même les fleurs qui ont des épines,1278.61,1280.06,1.4500000000000455
oui même les fleurs qui ont des épines,1280.99,1283.04,2.0499999999999545
alors les épines à quoi servent elles,1284.14,1286.37,2.229999999999791
je ne le savais pas,1287.56,1288.49,0.9300000000000637
j' étais alors très occupé à essayer de dévisser un boulon trop serré de mon moteur,1289.14,1294.17,5.029999999999973
j' étais très soucieux car ma panne commençait de m' apparaître comme très grave et l' eau à boire qui s' épuisait me faisait craindre le pire,1294.94,1303.38,8.440000000000055
les épines à quoi servent elles,1304.16,1306.22,2.0599999999999454
le petit prince ne renonçait jamais à une question une fois qu' il l' avait posée,1307.03,1311.42,4.3900000000001
j' étais irrité par mon boulon et je répondis n' importe quoi,1312.16,1315.23,3.0699999999999363
les épines ça ne sert à rien,1315.74,1317.25,1.509999999999991
c' est de la pure méchanceté de la part des fleurs,1317.51,1319.76,2.25
oh,1320.73,1321.08,0.34999999999990905
mais après un silence il me lança avec une sorte de rancune,1322.06,1326.07,4.009999999999991
je ne te crois pas,1326.92,1327.77,0.849999999999909
les fleurs sont faibles,1328.34,1329.53,1.1900000000000546
elles sont naïves,1329.79,1330.68,0.8900000000001
elles se rassurent comme elles peuvent,1331.11,1332.6,1.490000000000009
elles se croient terribles avec leurs épines,1333.26,1335.13,1.8700000000001182
je ne répondis rien,1336.25,1337.37,1.1199999999998909
à cet instant là je me disais si ce boulon résiste encore je le ferai sauter d' un coup de marteau,1337.96,1344.35,6.389999999999873
le petit prince dérangea de nouveau mes réflexions,1345.6,1348.15,2.550000000000182
et tu crois toi que les fleurs,1349.279353,1351.04,1.7606470000000627
mais non mais non je ne crois rien,1351.48,1353.6,2.119999999999891
j' ai répondu n' importe quoi,1353.91,1355.16,1.25
je m' occupe moi de choses sérieuses,1355.63,1357.59,1.959999999999809
il me regarda stupéfait,1358.62,1360.23,1.6100000000001273
de choses sérieuses,1361.0,1362.68,1.6800000000000637
il me voyait mon marteau à la main et les doigts noirs de cambouis penché sur un objet qui lui semblait très laid,1363.85,1370.45,6.600000000000136
tu parles comme les grandes personnes,1371.74,1373.19,1.4500000000000455
ça me fit un peu honte mais impitoyable il ajouta,1374.04,1377.97,3.9300000000000637
tu confonds tout,1378.45,1379.45,1.0
tu mélanges tout,1379.5,1380.51,1.009999999999991
il était vraiment très irrité,1381.43,1383.06,1.6299999999998818
il secouait à le vent des cheveux tout dorés,1383.76,1386.22,2.4600000000000364
je connais une planète où il y a un monsieur cramoisi,1387.2,1390.15,2.9500000000000455
il n' a jamais respiré une fleur,1390.75,1392.99,2.240000000000009
il n' a jamais regardé une étoile,1393.42,1395.78,2.3599999999999
il n' a jamais aimé personne,1396.19,1397.94,1.75
il n' a jamais rien fait d' autre que des additions et toute la journée il répète comme toi,1398.58,1404.04,5.460000000000036
je suis un homme sérieux je suis un homme sérieux,1404.44,1407.08,2.6399999999998727
et ça le fait gonfler d' orgueil,1407.58,1409.22,1.6400000000001
mais ce n' est pas un homme,1409.94,1410.98,1.0399999999999636
c' est un champignon,1411.21,1412.22,1.009999999999991
un quoi,1412.96,1413.74,0.7799999999999727
un champignon,1414.58,1415.57,0.9900000000000091
le petit prince était maintenant tout pâle de colère,1416.47,1419.93,3.4600000000000364
il y a des millions d' années que les fleurs fabriquent des épines,1420.85,1423.9,3.050000000000182
il y a des millions d' années que les moutons mangent quand même les fleurs,1424.4,1427.96,3.5599999999999454
et ce n' est pas sérieux de chercher à comprendre pourquoi elles se donnent tant de mal pour se fabriquer des épines qui ne servent jamais à rien,1428.47,1435.42,6.9500000000000455
ce n' est pas important la guerre des moutons et des fleurs,1436.37,1438.74,2.3700000000001182
ce n' est pas plus sérieux et plus important que les additions d' un gros monsieur rouge,1439.6,1443.7,4.100000000000136
et si je connais moi une fleur unique à le monde qui n' existe nulle part sauf dans ma planète et qu' un petit mouton peut anéantir d' un seul coup comme ça un matin sans se rendre compte de ce qu' il fait,1444.72399,1458.02,13.296010000000024
ce n' est pas important ça,1458.45,1459.77,1.3199999999999363
il rougit puis reprit,1461.24,1462.91,1.6700000000000728
si quelqu un aime une fleur qui n' existe qu' à un exemplaire dans les millions et les millions d' étoiles ça suffit pour qu' il soit heureux quand il les regarde,1463.73,1472.39,8.660000000000082
il se dit ma fleur est là quelque part,1472.9,1475.65,2.75
mais si le mouton mange la fleur c' est pour lui comme si brusquement toutes les étoiles s' éteignaient,1476.48,1482.78,6.2999999999999545
et ce n' est pas important ça,1482.78,1485.07,2.2899999999999636
il ne put rien dire de plus,1486.62,1488.31,1.6900000000000546
il éclata brusquement en sanglots,1488.77,1490.92,2.150000000000091
la nuit était tombée,1491.88,1493.1,1.2199999999998
j' avais lâché mes outils je me moquais bien de mon marteau de mon boulon de la soif et de la mort,1493.64,1500.14,6.5
il y avait sur une étoile une planète la mienne la terre un petit prince à consoler,1500.88,1507.91,7.029999999999973
je le pris dans les bras,1508.87,1509.99,1.1200000000001182
